chart_version,output
10.1.1,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r16
- docker.io/bitnami/postgresql:14.12.0
- docker.io/bitnami/postgresql:15.7.0
- docker.io/camunda/connectors-bundle:8.5.3
- docker.io/camunda/identity:8.5.2
- docker.io/camunda/identity:latest
- docker.io/camunda/operate:8.5.3
- docker.io/camunda/optimize:8.5.2
- docker.io/camunda/tasklist:8.5.2
- docker.io/camunda/zeebe:8.5.3
- registry.camunda.cloud/console/console-sm:8.5.52
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.3
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.3
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.3"
10.1.0,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r16
- docker.io/bitnami/postgresql:14.12.0
- docker.io/bitnami/postgresql:15.7.0
- docker.io/camunda/connectors-bundle:8.5.3
- docker.io/camunda/identity:8.5.2
- docker.io/camunda/identity:latest
- docker.io/camunda/operate:8.5.2
- docker.io/camunda/optimize:8.5.2
- docker.io/camunda/tasklist:8.5.2
- docker.io/camunda/zeebe:8.5.2
- registry.camunda.cloud/console/console-sm:8.5.50
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.2
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.2
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.2"
10.0.5,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r16
- docker.io/bitnami/postgresql:14.12.0
- docker.io/bitnami/postgresql:15.7.0
- docker.io/camunda/connectors-bundle:8.5.2
- docker.io/camunda/identity:8.5.1
- docker.io/camunda/identity:latest
- docker.io/camunda/operate:8.5.1
- docker.io/camunda/optimize:8.5.1
- docker.io/camunda/tasklist:8.5.1
- docker.io/camunda/zeebe:8.5.1
- registry.camunda.cloud/console/console-sm:8.5.34
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.1
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.1
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.1"
10.0.4,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r16
- docker.io/bitnami/postgresql:14.5.0-debian-11-r35
- docker.io/bitnami/postgresql:15.6.0
- docker.io/camunda/connectors-bundle:8.5.0
- docker.io/camunda/identity:8.5.0
- docker.io/camunda/identity:latest
- docker.io/camunda/operate:8.5.0
- docker.io/camunda/optimize:8.5.0
- docker.io/camunda/tasklist:8.5.0
- docker.io/camunda/zeebe:8.5.0
- registry.camunda.cloud/console/console-sm:8.5.22
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.0
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.0
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.0"
10.0.3,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r16
- docker.io/bitnami/postgresql:14.5.0-debian-11-r35
- docker.io/bitnami/postgresql:15.6.0
- docker.io/camunda/connectors-bundle:8.5.0
- docker.io/camunda/identity:8.5.0
- docker.io/camunda/identity:latest
- docker.io/camunda/operate:8.5.0
- docker.io/camunda/optimize:8.5.0
- docker.io/camunda/tasklist:8.5.0
- docker.io/camunda/zeebe:8.5.0
- registry.camunda.cloud/console/console-sm:8.5.22
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.0
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.0
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.0"
10.0.2,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r16
- docker.io/bitnami/postgresql:14.5.0-debian-11-r35
- docker.io/bitnami/postgresql:15.6.0
- docker.io/camunda/connectors-bundle:8.5.0
- docker.io/camunda/identity:8.5.0
- docker.io/camunda/identity:latest
- docker.io/camunda/operate:8.5.0
- docker.io/camunda/optimize:8.5.0
- docker.io/camunda/tasklist:8.5.0
- docker.io/camunda/zeebe:8.5.0
- registry.camunda.cloud/console/console-sm:8.5.5
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.0
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.0
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.0"
9.4.6,"- docker.io/bitnami/elasticsearch:8.9.2
- docker.io/bitnami/keycloak:22.0.5
- docker.io/bitnami/os-shell:12-debian-12-r16
- docker.io/bitnami/postgresql:14.5.0-debian-11-r35
- docker.io/bitnami/postgresql:15.10.0-debian-12-r2
- docker.io/camunda/connectors-bundle:8.4.16
- docker.io/camunda/identity:8.4.16
- docker.io/camunda/operate:8.4.16
- docker.io/camunda/optimize:8.4.13
- docker.io/camunda/tasklist:8.4.16
- docker.io/camunda/zeebe:8.4.15
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.4.13
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.4.13
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.4.13"
9.4.5,"- docker.io/bitnami/elasticsearch:8.9.2
- docker.io/bitnami/keycloak:22.0.5
- docker.io/bitnami/os-shell:12-debian-12-r16
- docker.io/bitnami/postgresql:14.5.0-debian-11-r35
- docker.io/bitnami/postgresql:15.10.0-debian-12-r2
- docker.io/camunda/connectors-bundle:8.4.15
- docker.io/camunda/identity:8.4.15
- docker.io/camunda/operate:8.4.15
- docker.io/camunda/optimize:8.4.12
- docker.io/camunda/tasklist:8.4.15
- docker.io/camunda/zeebe:8.4.14
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.4.12
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.4.12
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.4.12"
9.4.4,"- docker.io/bitnami/elasticsearch:8.9.2
- docker.io/bitnami/keycloak:22.0.5
- docker.io/bitnami/os-shell:12-debian-12-r16
- docker.io/bitnami/postgresql:14.5.0-debian-11-r35
- docker.io/bitnami/postgresql:15.7.0-debian-12-r19
- docker.io/camunda/connectors-bundle:8.4.14
- docker.io/camunda/identity:8.4.14
- docker.io/camunda/operate:8.4.14
- docker.io/camunda/optimize:8.4.10
- docker.io/camunda/tasklist:8.4.14
- docker.io/camunda/zeebe:8.4.13
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.4.11
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.4.11
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.4.11"
9.4.3,"- docker.io/bitnami/elasticsearch:8.9.2
- docker.io/bitnami/keycloak:22.0.5
- docker.io/bitnami/os-shell:12-debian-12-r16
- docker.io/bitnami/postgresql:14.5.0-debian-11-r35
- docker.io/bitnami/postgresql:15.7.0
- docker.io/camunda/connectors-bundle:8.4.14
- docker.io/camunda/identity:8.4.13
- docker.io/camunda/operate:8.4.14
- docker.io/camunda/optimize:8.4.10
- docker.io/camunda/tasklist:8.4.14
- docker.io/camunda/zeebe:8.4.13
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.4.11
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.4.11
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.4.11"
9.4.2,"- docker.io/bitnami/elasticsearch:8.9.2
- docker.io/bitnami/keycloak:22.0.5
- docker.io/bitnami/os-shell:12-debian-12-r16
- docker.io/bitnami/postgresql:14.5.0-debian-11-r35
- docker.io/bitnami/postgresql:15.7.0
- docker.io/camunda/connectors-bundle:8.4.14
- docker.io/camunda/identity:8.4.12
- docker.io/camunda/operate:8.4.13
- docker.io/camunda/optimize:8.4.9
- docker.io/camunda/tasklist:8.4.13
- docker.io/camunda/zeebe:8.4.12
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.4.10
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.4.10
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.4.10"
